id,name,type,website,description,location_city,location_country,location_greater_stockholm,logo_url,owner,maturity,accepts_interns,is_swedish,source,metadata_source_url,data_quality_score,last_updated,sectors,domains,ai_capabilities,dimensions
1125,Google Digitalakademin,corporation,https://learndigital.withgoogle.com/digitalakademin,,,Sweden,,https://aihubtest-bucket.s3.eu-north-1.amazonaws.com/public/storage/images/47/4nspCB3DEvqrR9Y8zZi5jhY72SddFpoN9pKfA7bS.png,Google,,,1,my.ai.se,,50,2025-10-15 16:50:01,,,,Competence & Expertise
1126,National Space Data Lab,lab,,,,Sweden,,https://aihubtest-bucket.s3.eu-north-1.amazonaws.com/public/storage/images/48/k4NOBazI8CU45WCtIoPys1rYdnDZn5gnKxicjeHu.jpg,AI Sweden,,,1,my.ai.se,,40,2025-10-15 16:50:01,Space,,,
1130,RISE,publicsector,https://www.ri.se/sv,,,Sweden,,https://aihubtest-bucket.s3.eu-north-1.amazonaws.com/public/storage/images/52/vlDoP9YTeKQcQvtLD8OJrHp6dDLI77lZhUtSYtAU.png,,,,1,my.ai.se,,50,2025-10-15 16:50:01,,Research & Development,,
1131,Centre for Distance-spanning Technologies,academia,https://www.ltu.se/centres/cdt?l=en,"From projects to business CDT is a research, design and innovation joint venture between the core partners Luleå University of Technology, and the IT industry. CDT offers an integrated environment of people, infrastructure, tools, processes and services for research, development and test of new and emerging distance-spanning technologies and its applications. A main mission of CDT is to run business innovation projects, i.e. projects which bring knowledge based innovation into sustainable new business. A CDT project starts when an idea (based on new knowledge from research) has been evaluated to have a significant business opportunity. The idea may be based on any combination or blend of new technology, identified needs, new business principle or emerging market opportunity. Are good business innovations driven by needs or emerging technology – arguments are eternal. At CDT we are fine whatever comes first. For certain, it is important that they both are present and can match! Towards new solutions During a CDT business innovation project, key assets are created such as architectures, new technology, methods as well as analysis of needs, market and usability aspects. If successful, the project final delivery is a product/service prototype and a business concept (perceived market, business model and suitable value chain). Normally, final delivery also includes IPR settlement with a ”commercial host” and other necessary preparations for a business exploitation process to ”take over”. PartnersCDT has two partners, Ericsson and Skellefteå municipality. YouTubeCDT has a YouTube channel what can be found here:https://www.youtube.com/channel/UC8Qt5Si4x-BR8K_OOMKsX3w/",,Sweden,,https://aihubtest-bucket.s3.eu-north-1.amazonaws.com/public/storage/images/4788/logo_CDT_2022.jpg,,,,1,my.ai.se,,85,2025-10-15 16:50:01,"Information Technology, Space, Telecommunications",Research & Development,,Competence & Expertise
1132,AI Agendan,network,https://www.ri.se/sv/ai-agendan,"Sverige har en god position för att både tillgodogöra sig och driva på AI-utveckling, och genom strategiska satsningar, samordning och samsyn kan samhällseffekten bli betydande. AI-agendan för Sverige presenterar förslag som syftar till att accelerera de positiva effekterna av AI-användningen i det svenska samhället på kort och lång sikt, samtidigt som riskerna minimeras utifrån visionen att Sverige skall vara ledande i att ta tillvara möjligheterna på ett ansvarsfullt, inkluderande, och hållbart sätt. Vi avser att kontinuerligt utveckla denna AI-agenda och fortsätta att bredda deltagandet.",,Sweden,,https://aihubtest-bucket.s3.eu-north-1.amazonaws.com/public/storage/images/53/iTyz1kttnDt2BGE1AJS0M8HOMl2GsVbs97GpJWCY.png,RISE,,,1,my.ai.se,,80,2025-10-15 16:50:01,,,,"Usecases & Inspiration, Ecosystem & Partners, Competence & Expertise, Culture & Mindset, Technology, Vision & Strategy, Data"
1137,Layke Analytics,startup,https://laykeanalytics.com/,"Layke is an API solution for intelligent screening and matching. Trained on a large amount of data and built on advanced machine learning technology, our algorithm has the capacity to read, interpret and analyse documents like a human resource, but faster. In an ever-growing market, Layke supports recruiting companies to fill in positions faster and more efficiently based on clear and objective data. Our algorithm transforms a process where the unconscious human bias sometimes can’t be avoided and encourages a transparent, skill-based recruitment.",,Sweden,,https://aihubtest-bucket.s3.eu-north-1.amazonaws.com/public/storage/images/328/Layke-logo.png,,,,1,my.ai.se,,85,2025-10-15 16:50:01,Information Technology,Human Resources,,"Usecases & Inspiration, Competence & Expertise, Culture & Mindset, Technology, Vision & Strategy"
1139,Big Data Value Association,network,https://www.bdva.eu,"The Big Data Value Association – BDVA, (from 2021, DAIRO - Data, AI and Robotics aisbl), is an industry-driven international not–for-profit organisation with more than 230 members all over Europe and a well-balanced composition of large, small, and medium-sized industries as well as research and user organizations. BDVA/DAIRO focuses on enabling the digital transformation of the economy and society through Data and Artificial Intelligence by advancing in areas such as big data and AI technologies and services, data platforms and data spaces, Industrial AI, data-driven value creation, standardisation, and skills. BDVA/DAIRO has been the private side of the H2020 partnership Big Data Value cPPP, it is a private member of the EuroHPC JU and is also one of the founding members of the AI, Data and Robotics Partnership. BDVA/DAIRO is an open and inclusive community and is always eager to accept new members who share these ambitious objectives. The mission of the BDVA is to develop the Innovation Ecosystem that will enable the data and AI-driven digital transformation in Europe delivering maximum economic and societal benefit, and, achieving and sustaining Europe’s leadership on Big Data Value creation and Artificial Intelligence. BDVA is open to new members to further enrich the data value ecosystem and play an active role. These include Data Users, Data Providers, Data Technology Providers and Researchers. BDVA enables existing regional multi-partner cooperation, to collaborate at European level through the provision of tools and knowhow to support the co-creation, development and experimentation of pan-European data-driven applications and services, and know-how exchange.",,Sweden,,https://aihubtest-bucket.s3.eu-north-1.amazonaws.com/public/storage/images/417/BDVA.png,,,,1,my.ai.se,,75,2025-10-15 16:50:01,,,,Data
1141,The University of Texas at Austin McCombs School of Business,academia,https://www.mccombs.utexas.edu,"For 100 years, McCombs School of Business has been home to a diverse community of learners, scholars, and trailblazers at the forefront of transformation in business. The McCombs School of Business is a top-ranked business school welcoming the enterprising spirit of students everywhere. Whether you’re developing an app that will disrupt aerospace or you’re committed to activating community change - our curriculum complements the valuable skill sets you are bringing to our table Develop leadership and management skills across a range of competency areas through short, non-degree programs specifically designed for organizations and working professionals.",,Sweden,,https://aihubtest-bucket.s3.eu-north-1.amazonaws.com/public/storage/images/4786/23456646_10155701293771438_4787411338355202802_o.jpg,,,,1,my.ai.se,,80,2025-10-15 16:50:01,Education,,,
1143,Knowing Company,startup,https://knowingcompany.com,"We make a Basic Human, a conversational AI based on evolution of human mind.",,Sweden,,https://aihubtest-bucket.s3.eu-north-1.amazonaws.com/public/storage/images/484/Knowing-Company-Logo.png,,,,1,my.ai.se,,60,2025-10-15 16:50:01,,IT & Software,,Technology
1144,Göteborgs Stad,publicsector,https://goteborg.se,"Omgivet av klippor, skogar, sjöar och havet i väster ligger Göteborg, Sveriges näst största stad med nära 560 000 invånare. Här finns det mesta du kan förvänta dig av en storstad – men med nära avstånd till allt. I Göteborgs Stad arbetar drygt 50,000 medarbetare inom stadsdelar, fackförvaltningar och kommunala bolag. Vårt gemensamma uppdrag är att skapa en bra vardag för boende, besökare och näringsliv och utveckla Göteborg till en hållbar stad, som är öppen för världen. Just nu händer det mycket i Göteborg! Staden växer kraftigt och förbereder sig för att kunna göra plats för ytterligare 150 000 fler göteborgare år 2035. En sådan förändring kräver att vi tänker hållbart. Vi strävar mot ett jämlikt Göteborg, där alla kan leva ett gott liv.",,Sweden,,https://aihubtest-bucket.s3.eu-north-1.amazonaws.com/public/storage/images/574/gbg.png,,,,1,my.ai.se,,80,2025-10-15 16:50:01,Municipality,,,
